d_rad_kills,d_dire_kills,d_rad_gold_per_min,d_dire_gold_per_min,d_rad_level,d_dire_level,d_rad_leaver_status,d_dire_leaver_status,d_rad_xp_per_min,d_dire_xp_per_min,d_rad_denies,d_dire_denies,d_rad_win
34,52,3968,4527,125,125,0,0,5943,6346,25,29,0
52,64,2242,2606,119,123,1,2,2941,3301,47,47,0
24,62,1496,2494,100,119,0,0,2142,3121,19,29,0
54,17,2203,1642,112,86,0,0,3136,1910,32,29,1
43,66,2089,2210,122,125,0,0,2847,3156,41,46,0
36,50,1776,2391,107,112,0,0,2561,3007,20,60,0
26,46,1492,2214,84,93,0,0,2056,2558,8,25,0
25,52,1618,2331,94,105,0,0,2227,2871,33,53,0
49,50,2505,2099,115,114,0,0,3020,2850,52,33,1
32,47,1876,2527,109,116,0,0,2812,3163,14,31,0
40,26,2331,1657,109,103,0,0,2638,2389,99,44,1
43,20,2391,1856,105,92,0,0,2601,2107,44,38,1
44,25,2137,1814,105,98,0,0,2816,2454,56,20,1
3,5,1089,2211,40,54,5,4,1511,2055,0,0,0
43,38,2229,1805,122,113,0,0,2770,2461,41,42,1
38,30,2126,1632,104,91,0,0,2552,2014,73,20,1
38,32,2131,1914,112,109,0,0,2631,2428,37,51,1
38,59,1882,2382,120,116,0,2,2485,2666,17,17,0
57,37,2227,1634,117,95,0,0,3247,2193,39,19,1
